district,schooldbn,name,neighborhood,address,coursepassrate,elaprof,mathprof,totalstudents,surveysafety,ellprograms,languageclasses,acceleratedclasses,electiveclasses,activities,accessibility,year
4.0,04M206,Jose Celso Barbosa (P.S./M.S. 206),East Harlem,"508 East 120th Street, Manhattan NY 10035",,,,,,"Dual Language: Spanish, English as a New Language",Spanish,Algebra I,,Academic Enrichment Program ; After-School Clubs ; Algebra Before and After School ; Cheerleaders ; City Year (AmeriCorps) ; City Year Homework Help ; Dance and Drama After-School Program ; ELL After-School Program ; Honor Roll ; IDEAS Engineering Club ; Math Competition Club ; Music Program ; Service Learning Program ; Sixth through Eighth Grade Homework Help ; Student of the Month ; Video Conferencing,Not Accessible,2018
4.0,04M224,Manhattan East School for Arts & Academics (M.S. 224),East Harlem,"410 East 100th Street, Manhattan NY 10029",,,,,,English as a New Language,Spanish,"Algebra I, Earth Science, US History","Chorus, Concert Band, Dance, Drama, Jazz Ensemble, Rooftop Gardening with the NY Horticultural Society, Studio Art, Tennis Instruction at John McEnroe's Tennis Center on Randall's Island, Yearbook","Flag Football, Soccer, and Basketball through Asphalt Green ; Global Kids After-School Program ; Nature's Classroom ; Queens College Honor Band ; Rooftop Gardening with the NY Horticultural Society",Not Accessible,2018
4.0,04M372,Esperanza Preparatory Academy,East Harlem South,"240 East 109th Street, Manhattan NY 10029",,,,,,"Dual Language: Spanish, English as a New Language",Spanish,"Algebra I, Living Environment","Art, Film, Health, Keyboarding, Music, Technology",Achieve3000 ; Acuity ; Advisory ; After-School Program ; ASPCA Unleashed ; Assessment and Learning in Knowledge Spaces (ALEKS) ; Chess Club ; Close Reading ; Dance ; Dual Language ; Fashion Club ; Girls on the Run ; Junior Great Books ; Music ; Renaissance/Accelerated Reader ; Roundabout Theatre ; Sixth through Eighth ELA and Math Academics ; Socratic Seminars ; Student Council ; Theater ; Visual Arts ; Yearbook,Accessible,2018
4.0,04M377,Renaissance School of The Arts,East Harlem,"319 East 117th Street, Manhattan NY 10035",,,,,,English as a New Language,,Algebra I,"Arts Block (Dance, Music Theater, Band, Art), Rosetta Stone (Multiple Languages)",Anti-Bullying Campaign (ABC) ; Dance Technique ; Extended-Day Literacy and Math Enrichment ; I Will Graduate Mentoring Program ; MSExtra (Extended-Day Arts and Literacy) ; Math Madness (Math Team) ; Music Theater ; Student Government ; Teacher Leader Programs ; Urban Advantage Science Program,Not Accessible,2018
4.0,04M406,Global Technology Preparatory,East Harlem,"160 East 120th Street, Manhattan NY 10035",,,,,,English as a New Language,,Algebra I,"Careers, Dance, Gardening and Cooking courses through Edible School Yard, Health, Physical Education, Piano, Software Engineering, Visual Arts",Apprenticeships ; Broadway Junior Musical ; Chess ; Citizen Schools ; Dance ; Google Coding Club ; Leadership and College Travel Club ; Math Club ; One-to-One Laptops ; PENCIL President for a Day Program ; Piano Club ; Student Government ; Stuyvesant Prep Club ; Technology,Accessible,2018
4.0,04M610,The Young Women's Leadership School,East Harlem South,"105 East 106th Street, New York NY 10029",,,,,,English as a New Language,Spanish,,"Art, Math Workshop, Music, Reading Workshop, Technology","3-D printing ; A Fair Shake Therapy Dog Program ; Community Service ; Debate ; Dreamers Alliance ; Film ; Fitness ; Girls Inc. After-School Program including Homework Help, Dance, Basketball, Yoga, and Poetry ; International Club ; LGBTQ Club ; Orchestra ; Photography ; Science Research Team ; Social Justice Club ; Step ; Student Council",Accessible,2018
4.0,04M825,Isaac Newton Middle School for Math and Science,East Harlem,"260 Pleasant Avenue, Manhattan NY 10029",,,,,,English as a New Language,Spanish,"Algebra I, Living Environment","Fine Arts, Foreign Languages, Specialized High School Preparation Class, Technology, Theater",Coding ; Cooking ; Drumming ; Gardening ; Healthy Living ; Peer Leaders ; Robotics ; Video Production ; Web Design,Accessible,2018
4.0,04M964,Central Park East II,East Harlem,"1615 Madison Avenue, Manhattan, NY 10029",,,,,,English as a New Language,,,,,Not Accessible,2018
8.0,08X131,The Albert Einstein School (J.H.S. 131),Soundview,"885 Bolton Avenue, Bronx NY 10473",,,,,,English as a New Language,Spanish,,"100 Book Challenge, Academic Enrichment, Achieve 3000, Algebra I, Architecture, Arts Portfolio and Audition Preparation, Citizen Science, Concert Band, Dance, Fine Arts, Instrumental Music, Living Environment, STEAM, Urban Advantage","A+ Stem Labs ; Annual Career Day ; Band ; CHAMPS Morning Program ; Career Day ; Chess ; College Access for All ; Dance ; Field Trips (Museums, Plays, Concerts, Bowling, and Movies) ; MRT ; Multicultural Festival ; Music ; Peer Leadership Program ; Performing Arts ; RAPP ; Saturday Test Prep ; School Dances ; Specialized High School Test Prep ; STEAM Initiatives ; Student Government ; Theatre Moves ; Trips to NYC Landmarks and College Tours ; Visual Arts ; Vocal ; Wellness in Our Schools ; Yearbook",Not Accessible,2018
8.0,08X071,Rose E. Scala (P.S. 71),Pelham Bay,"3040 Roberts Avenue, Bronx NY 10461",,,,,,English as a New Language,Spanish,"Algebra I, English","Art, Culinary Arts, Dance, Music, Technology",Band ; Debate Team ; Drama ; Mock Trial ; NJHS,Not Accessible,2018
8.0,08X101,The Edward R. Byrne School (M.S. 101),Throgs Neck,"2750 Lafayette Avenue, Bronx NY 10465",,,,,,English as a New Language,Spanish,"Algebra I, Earth Science, English, Spanish","Music (General Music, Honor Band, Rock Band, Drama), Studio Art",Accelerated Programs ; Art Club ; Cheerleading ; Chess Club ; Dance ; Dance Team ; Domestic Trips ; Drama Club (School Play) ; Educational Field Trips ; History Club ; Honor Band ; Newsletter Club ; Specialized High Schools Test Prep ; Student Government ; Video Game Club ; Yearbook Club,Accessible,2018
8.0,08X123,The James M. Kieran School (J.H.S. 123),Soundview,"1025 Morrison Avenue, Bronx NY 10472",,,,,,English as a New Language,,Living Environment,"Chess, Digital Architecture, Film Making, Garage Band, Visual Arts",Chess Club ; Extended Learning Time (extra period of learning each day) ; SONYC (School's Out New York City) ; Student Council ; Student Selected After-School Clubs (chosen by students),Not Accessible,2018
8.0,08X125,Henry Hudson School (J.H.S. 125),Unionport,"1111 Pugsley Avenue, Bronx NY 10472",,,,,,English as a New Language,Spanish,"Algebra I, Living Environment","We are offering the following courses: Algebra 1, Art, ELA, Gym, Health, Humanities, Living Environment, Music, Science, Social Studies, Spanish, Strategic Reading and Writing, Technology","Arts ; Book Clubs ; Dance ; ELA and Math After-School ; English as a New Language Saturday School ; Fitness (Basketball, Volleyball, Track, Softball, Flag Football, and Soccer) ; Mock Trial ; Music through LeAp ; Robotics ; Specialized High School Exam Prep ; Student Government ; Trips to NYC Landmarks and College Tours ; Weekly Debates",Not Accessible,2018
8.0,08X301,The Paul L. Dunbar Middle School (M.S. 301),Morrisania,"890 Cauldwell Avenue, Bronx NY 10456",,,,,,English as a New Language,,,"100 Book Challenge, College and Career Readiness with Creative Connections, Expanded Learning Time (extra period of learning each day), OMNiLEARN and Makeosity for Science, Partnership with Lincoln Center Education (Arts in the Middle), Practice Makes Perfect Summer Specialized High School Preparation, Super Saturday Academy, Teacher's College Writers' Workshop",Art Portfolio Development ; Career Fair ; Chess Club ; Children's Aid Society After-School Program ; Crossfit ; Dance ; Student Advisory Board ; Urban Arts ; Varsity and Intramural Basketball ; Young Entrepreneurs Organization,Not Accessible,2018
8.0,08X302,Luisa Dessus Cruz Middle School (M.S. 302),Longwood,"681 Kelly Street, Bronx NY 10455",,,,,,English as a New Language,,,"Debate, Latin Percussion, Modern Dance with National Dance Institute, Music Production, Robotics, Theater, Visual Arts, Web Design/Coding",Basketball ; Cheerleading ; Chess ; Cook Shop ; Debate ; Debate ; Film ; Hip-Hop ; Journalism ; Mad Science Club ; Step ; Tennis ; Theater ; Track and Field with Road Runners ; Visual Arts ; Volleyball ; Yearbook ; Young Men/Women Leadership Club ; Zumba. Our community-based organizations are Sheltering Arms and City Year Corp.,Not Accessible,2018
8.0,08X337,The School for Inquiry and Social Justice,Soundview,"1025 Morrison Avenue, Bronx NY 10472",,,,,,English as a New Language,,,,Art ; Basketball ; Computer Code Writing ; Dance ; Flag Football ; Mock Trial Team ; Music ; Project BOOST ; Rugby,Not Accessible,2018
8.0,08X367,"Archimedes Academy for Math, Science and Technology Applications",Castle Hill-Clason Point,"456 White Plains Road, Bronx NY 10473",,,,,,English as a New Language,,Living Environment,"Arts Choice (Visual Art, Music, Theater, Dance) in seventh and eight grade, Technology",Advisory ; After-School Academic Academy ; After-School SHSAT Prep Program ; Annual Talent Show ; Ballroom and Latin Dancing ; Boy Scouts ; Chorus ; Fencing ; Fitness Boxing ; Girl Scouts ; SOBRO After-School Program,Accessible,2018
8.0,08X371,The Urban Institute of Mathematics,Throgs Neck,"650 Hollywood Avenue, Bronx NY 10465",,,,,,English as a New Language,Spanish,"Algebra I, Living Environment","Choir, Chorus, Dancing Classrooms, Debate Team, Digital Art, Makeosity Maker's Club, Math Club, Orchestra, Portfolio Art Class, Shakespeare",Ballroom Dance ; Car Modeling Club ; Chess Club ; Chorus ; Debate Team ; Engineering Makers Program ; LEGO Club ; National Junior Honor Society ; Peer Mediation ; Portfolio Art Club ; School Musical ; Specialized High School Preparation Course ; Student Government ; Violin and Viola Courses ; Yearbook,Accessible,2018
8.0,08X375,The Bronx Mathematics Preparatory School,Clason Point,"456 White Plains Road, Bronx NY 10473",,,,,,English as a New Language,Spanish,Spanish,"Advisory, Computer Technology, Mock Trials, Physical Education, Spanish, Stell Adler Drama, Visual Arts",Abundant Life ; Black PEARL ; Creative Connections Teen–Entrepreneurship ; I-Ready ; Integrated Algebra Regent Prep ; Leadership Program–Young Men's Empowerment Group ; Living Environment Regent Prep ; OMNiLEARN Science Labs ; Oracle Debate Club ; Principal's Council ; Robotics ; Smart Science ; SHSAT Exam Prep ; Student Government ; Urban Advantage,Accessible,2018
8.0,08X376,The Antonia Pantoja Preparatory Academy: A College Board School,Castle Hill-Clason Point,"1980 Lafayette Avenue, Bronx NY 10473",,,,,,English as a New Language,,,"Computer Technology, Dance, Graphic Arts, Spanish Language",Arts and Crafts ; Basketball ; Dance ; Homework Help ; Monthly Town Hall Assemblies ; Peace Ambassadors ; Student Government ; Yearbook ; YMCA After-School Program: Culinary Arts (Cooking Matters!),Accessible,2018
15.0,15K447,The Math & Science Exploratory School,Boerum Hill,"345 Dean Street, Brooklyn NY 11217",,,,,,English as a New Language,Spanish,"Algebra I, Living Environment, Spanish","Art, Dance, Music, Technology, Theater",Chess ; Comprehensive After-School enrichment programs through SONYC/Big Brothers Big Sisters of NY ; Daily Sports Clubs and Arts Clubs ; Garden Club ; Instrumental Music ; LEGO Robotics ; Office hours with teachers after-school ; Peer Mediation Program ; Performance Arts ; School Newspaper ; Science Enrichment ; Student Government ; Technology ; Visual Arts ; Yearbook Committee,Accessible,2018
8.0,08X424,The Hunts Point School,Hunts Point,"730 Bryant Avenue, Bronx NY 10474",,,,,,"English as a New Language, Transitional Bilingual Education: Spanish",Spanish,Algebra I,"Arts: Education Through Music, Coding Using NAO Robots, Makeosity (Inventions), Omni Science (Lab), Salvadori Science (Civil Engineering), Specialized High School Test Preparation, STEM (Science, Technology, Engineering, and Math), Take Two Film Academy",A Fair Shake ; Art ; Capoeira ; Chess ; College Tours ; Dance ; Double Dutch ; Film Club ; Grant Writing ; Gray's Cadet Corps ; Healthy Cooking ; Homework Help ; Journalism ; Knitting ; MOUSE Squad ; Math Club ; Rocking the Boat ; Scarsdale Strings ; Seedfolks ; Shakespeare ; Spirit Squad ; Stella Adler Drama ; Student Council,Accessible,2018
8.0,08X448,Soundview Academy for Culture and Scholarship,Soundview,"885 Bolton Avenue, Bronx NY 10473",,,,,,"Dual Language: Spanish, English as a New Language",,"Algebra I, Living Environment","Dance, Musical Theater, Visual Art",Apple ConnectED Program ; Baile Dance Team ; Broadway Jr ; Carnegie Hall Choir ; Community Service Initiatives ; Dance Team ; High School Articulation ; Olweus Bullying Prevention Program ; Peer Mediation ; Play Study Win Program Monday through Friday After-School Program ; Project BOOST ; SHSAT Prep ; Step ; Student Council ; Student Political Action Committee ; Tech Squad,Not Accessible,2018
8.0,08X562,Blueprint Middle School,Unionport,"1111 Pugsley Avenue, Bronx NY 10472",,,,,,English as a New Language,,Living Environment,"Students select elective courses based on their interests. Electives include: Cooking, Fashion, Film Making, Hip Hop, Music & Literature, Photography, STEM, Specialized High School Exam preparation beginning in sixth grade, Technology, Visual Art",ASPIRA After-School Program ; Book Clubs ; College and Cultural Field Trips ; Community Service ; Dance Team ; Literary Magazine ; Mentoring Basketball Program ; Mentoring Volleyball Program ; Morning Burn Fitness Club ; MOUSE Squad ; Peer Mediation ; Science Explorers Club ; Student Council ; Summer and Holiday Math and Science Institutes ; Visual Art Club,Not Accessible,2018
15.0,15K051,William Alexander Middle School (M.S. 51),Park Slope,"350 5th Avenue, Brooklyn NY 11215",,,,,,English as a New Language,"French, Spanish","Algebra I, Living Environment","Talent/Art and Honors courses in all subjects and grades, seventh grade advanced Honors math, eighth grade Regents courses, three years of Second Language with HS Proficiency test. We also offer a Summer Bridge Program for all incoming students with IEP's. Students also have an opportunity to join the Student Government and committees, such as Grant Writing, Social Action, and Diversity. All classes rotate through a DOT Pedestrian Safety course and Mission Be Mindfulness Training.",Advisory ; Billion Oyster Project ; Cooking ; Drama ; ELA and Math Help ; French/Spanish Club ; High School Portfolios ; Honor Society ; Intermediate and Advanced Dance Company ; Jazz Band; Yearbook ; LeAp FREE After-School Programming ; Newspaper ; Photo ; School-Based Health Clinic ; Service Learning ; Show Choir ; SHSAT Prep ; Special Programs: Accelerated and Regents Courses ; Spirit Squad ; Stand For the Silent ; Student Government ; Sustainability Program,Accessible,2018
15.0,15K088,The Park Slope Educational Complex at (M.S. 88),Sunset Park,"544 7th Avenue, Brooklyn NY 11215",,,,,,English as a New Language,Spanish,"Algebra I, Living Environment","Art, Drama, Green Planning and Design, Guitar, History of Music, Leadership Development (Principal's Council), Life Skills/Social Emotional Learning & Development, Media Literacy and Technology, Mixed Media Arts, National Junior Honor Society, Specialized High School Admissions Test (SHSAT) Preparation, STEM/STEAM",Band ; Biomimicry ; Chess ; Citizen's Science Club ; Coding ; Computer Club ; Fashion Design ; Graphic Design ; Green Team ; Jewelry Design ; LEGO Robotics ; Latin Dance ; Library Volunteers ; Lunch Clubs : Specialized High School Prep ; Math Club ; M.S. 88 Newscasters ; North Shore Animal League's Mutt-i-grees Club ; Photography ; Principal's Council ; Rockestra ; Theater,Accessible,2018
15.0,15K136,Charles O. Dewey Middle School (I.S. 136),Sunset Park,"4004 4th Avenue, Brooklyn NY 11232",,,,,,English as a New Language,,"Algebra I, Living Environment","Art Portfolio, Chorus, Coding, Digital Photography, Flamenco Guitar, Graphic Design, Health & Fitness, Keyboarding, Latin Dance, Robotics, Spoken Word, Web-Design",Anti-Bully/Peer Mediation Team ; Aperture ; Docent Training ; Environmental Science Club ; Geek Squad ; Honor Roll ; LEGO Robotics ; Leadership Team ; Local/Global Synergy Clubs ; NY Road Runners ; National Junior Honor Society ; NurtureArt ; Overnight/Team Building Camping Trips ; Penny Harvest ; RUSH Philanthropic ; STEM Based Paleontology and Ecology Exploration Field Work Trips,Not Accessible,2018
15.0,15K442,Carroll Gardens School for Innovation (M.S. 442),Carroll Gardens,"317 Hoyt Street, Brooklyn NY 11231",,,,,,English as a New Language,Spanish,"Algebra I, Earth Science","Beam Center Courses, Regents Algebra I, Regents Earth Science, Specialized High School Preparation (Seventh and Eighth Grade), Targeted Advanced Book Clubs, Targeted Math Groups",Academic Enrichment ; Advanced Algebra/Earth Science Programs ; Art Portfolio ; Arts Connection Music Program ; Broadway Jr./Musical Theater ; Cartooning ; Chess ; Circus After-School ; Coding Club ; Debate Team ; Digital Media/iMovie ; Girls Club ; Low-Tech Gaming ; Lunch Club ; Music/Modern Band ; National Jr. Honor Society ; Partnerships with BEAM Center ; Pay It Forward Club ; PBIS Leadership Team ; Tutoring Tuesdays ; Urban Agriculture ; Video Game Club ; Yearbook,Accessible,2018
15.0,15K443,New Voices School of Academic & Creative Arts,Sunset Park,"330 18th Street, Brooklyn NY 11215",,,,,,English as a New Language,Latin,"Algebra I, Living Environment","Chorus, Dance, Graphic Arts, Music, Theater, Visual Art",Art ; Drama Productions ; Musical Productions ; Newsletter ; Rock Band ; Yearbook,Not Accessible,2018
15.0,15K821,Sunset Park Preparatory,Sunset Park,"4004 4th Avenue, Brooklyn NY 11232",,,,,,English as a New Language,Spanish,"Algebra I, Living Environment","Advisory, Fine Arts, Leadership, Music, Regents Prep Courses, Specialized High Schools Admissions Test (SHSAT) Preparation, Technology, Theater, Tutorial (Eighth Grade, Executive Functioning Skills Class)",Arts Club ; Choir and Rock Band ; Crochet Club ; LEGO Robotics ; Morning Basketball (every day from 7am-8am) ; News Crew ; The Patriots (award-winning running club) ; Peer Mediators ; Prep also has a free after-school program from 4-6pm with our community partner The Center for Family Life ; Science Olympiad ; Soccer Club ; Student Council ; Technology Team ; Theater Troupe ; Yearbook,Not Accessible,2018
15.0,15K839,M.S. 839,Windsor Terrace,"713 Caton Avenue, Brooklyn NY 11218",,,,,,English as a New Language,French,,"Art, Bicycle Repair & Safe Riding, Ceramics, Chess Club, Computer Programming, Debate, Field Botany, French, Improv, Instrumental Music, Makers Club, Math Lab, Math Team, Musical Theater, Newspaper, Printmaking, Robotics, Safe Space Club, Student Council, Theater, Vocal Music, Website Design",Band ; Chess ; Makers Club ; Peer Mediation ; Puppetry ; Roads to Success ; Spanish Club,Accessible,2018
18.0,18K066,P.S. 66,Canarsie,"845 East 96th Street, Brooklyn NY 11236",,,,,,English as a New Language,Spanish,,"Art, Character Education and Service Credits for Seniors, Language, Library, Music: Instrumental and Vocal, Physical Education, Study Skills, Technology",After-School Program (offers enrichment activities) ; Buddy Reading ; Chess ; Chorus ; College Access For All ; Competitive Athletic Tournaments ; Homework Helper ; Keys to Success Program (recognizes and acknowledges positive behavior) ; Parent Association activities-Dances/Talent Show/Bake Sales and Saturday Academy ; Peer Mediation ; Student Council ; Teen Thursdays ; Yearbook,Accessible,2018
18.0,18K068,I.S. 68,Canarsie,"956 East 82nd Street, Brooklyn NY 11236",,,,,,"Dual Language: Haitian Creole, English as a New Language, Transitional Bilingual Education: Haitian Creole","Haitian Creole, Spanish",,,Achieve Now Academy Mentoring Program ; Air Purifying Team ; ARISTA Program ; Art ; Billion Oyster Team ; Brothers Breaking Bread ; Certified Eco-School ; Cheerleading/Step/Dance Club ; Cooking Club ; Eco Team ; Gear-Up College Prep Program ; Girls Empowerment Movement ; Morning Radio Show Club ; Peer Leadership Club ; Pollinating Garden ; Project Citizen's Law Program ; Robotics ; Science Club/Fair ; Student Anti-Bullying Club ; The Leader In Me ; Tutoring ; Urban Advantage School,Not Accessible,2018
18.0,18K581,The East Flatbush Community Research School,East Flatbush,"905 Winthrop Street, Brooklyn NY 11203",,,,,,English as a New Language,French,Algebra I,We offer music and health as elective courses.,"Book Club ; Chess ; Coding ; Cooking-EFCRS Top Chef ; Crochet ; Dance ; Double Dutch Club ; Drumming, Flag Football ; EFCRS School Musical ; Film and Media ; Fitness ; Guitar Hero ; Journalism ; Lyric Lounge ; Music Production ; Robotics ; STEM Academy ; Student Government ; Visual Arts",Not Accessible,2018
18.0,18K211,John Wilson (I.S. 211),Canarsie,"1001 East 100th Street, Brooklyn NY 11236",,,,,,English as a New Language,Spanish,"Algebra I, Living Environment",,Art and Design ; Business Club ; Chess Club ; Dance Club ; Drama ; Earth Science ; International Club ; Journalism ; Junior Achievers ; Leadership Club ; Music ; Rites of Passage ; Sesame Flyers,Accessible,2018
18.0,18K235,The Lenox Academy (P.S. 235),East Flatbush,"755 East 100th Street, Brooklyn, NY 11236",,,,,,English as a New Language,Spanish,"Algebra I, English, Living Environment, Spanish","CPR/AED Training and Certification, Fine Art, Forensics","Career Week Arts-in-Education ; Day Trip to Philadelphia ; Multiple Trips to Brooklyn Museum of Art ; Overnight Trip to Boston or Washington, DC ; Project AIRE ; Symphony Space ; Teaching Growth Mindset ; Theater for a New Audience/Broadway",Accessible,2018
18.0,18K285,Meyer Levin (I.S. 285),East Flatbush,"5909 Beverly Road, Brooklyn NY 11203",,,,,,English as a New Language,Spanish,"Algebra I, Living Environment, US History","Advanced Astral Placement, Dance, Drama, Instrumental Band, Marine Biology, Steel Pan Orchestra, Technology, Vocal Music (Chorus)",Academic Intervention Program ; Annual Theatrical Productions ; Community Day ; Concerts ; Conflict Resolution ; Dance ; Drama ; Drop Everything And Read (DEAR) ; Gaming ; Gospel Choir ; Graphic Design ; Journalism ; Mentoring ; Mid-Winter Recess/Spring Break Test Prep ; SHSAT Prep ; Steel Pan Band ; Student Council ; Technology ; Yearbook,Not Accessible,2018
18.0,18K366,The Science And Medicine Middle School 366,Canarsie,"965 East 107th Street, Brooklyn NY 11236",,,,,,English as a New Language,Spanish,"Algebra I, Living Environment","Dance, Medical Science, Spanish, Technology, Visual Arts","Big Brothers ; Big Sisters ; CHAMPS Basketball and Soccer ; Chorus ; Debate Team ; Experiential Learning (Trips: High Schools, Colleges, Universities) ; First LEGO League Robotics ; Girl Scouts ; Italian American Civil Rights League (Step Team, Cooking, Karate, African Dance) ; Service Learning (Penny Harvest and Nursing Homes) ; Specialized High School Achievement Test Prep",Accessible,2018
18.0,18K588,Middle School for Art and Philosophy,East Flatbush,"1084 Lenox Road, Brooklyn NY 11212",,,,,,English as a New Language,,,"21st Century Project-Based Learning, Applied Philosophy, Visual and Performing Arts",Additional Friday Enrichment Activities ; Applied Philosophy ; Artists Portfolio Club ; Drama ; Drumming ; Eighth Grade Portfolio Development ; Elders Share the Arts (ESTA) ; G-Squad (Tech Repair) ; Jazz Band ; MSAP Choir ; myOn Reading ; NY Cares at MSAP ; PricewaterCoopers Financial Literacy ; Sports and Arts in Schools Foundation ; Step ; Student Council ; Three Forms of Dance ; Tutoring,Not Accessible,2018
18.0,18K598,Middle School of Marketing and Legal Studies,East Flatbush,"905 Winthrop Street, Brooklyn NY 11203",,,,,,English as a New Language,Spanish,"Algebra I, Living Environment, Spanish, US History","Students have a choice in electives between visual arts, African drumming, and dance.",Broadway Jr. (Musical Theater) ; CHAMPS Cross Country ; Media & Broadcasting ; Roadrunners Track and Field ; Sports and Arts After-School Program (SASF),Not Accessible,2018
18.0,18K763,Brooklyn Science and Engineering Academy,East Flatbush,"5404 Tilden Avenue, Brooklyn NY 11203",,,,,,English as a New Language,Spanish,"Algebra I, Living Environment","A Capella, Chess, Cooking, Debate, Firefighting, Forensics, Graphic Design, LEGO Robotics, Newspaper, Photography, Step Dancing, The Science of Sports",Art & Design Club ; Chess ; Cooking ; Debate ; Future Problem Solvers ; Homework Help ; LEGO Robotics Club ; Saturday Academy ; Stock Market Club ; Video Game Design Workshops,Accessible,2018
28.0,28Q008,Richard S. Grossley (J.H.S. 8),South Jamaica,"108-35 167th Street, Queens NY 11433",,,,,,English as a New Language,"Korean, Spanish","Algebra I, Living Environment","New Prep Scholars, New-Leroy Comrie Science Lab (science enrichment), Specialized High Schools Prep Course","Achieve 3000 ; ARISTA/NJHS ; Band ; Chorus ; Dance ; Drumline ; English as a New Language After-School/Saturday Programs ; Field Trips: High Schools, Colleges, Washington, DC ; Flocabulary ; Girls Empowered and Motivated for Success ; Junior Deans Program ; Program Partners: UFT, Teacher Center, Sports & Arts in Schools Foundation ; Project BOOST ; Student Government ; Substance Abuse Prevention and Intervention ; Young Men's Initiative",Accessible,2018
28.0,28Q072,Catherine & Count Basie Middle School (M.S. 72),Springfield Gardens North,"133-25 Guy R Brewer Boulevard, Queens NY 11434",,,,,,"Dual Language: Haitian Creole, English as a New Language",Spanish,Earth Science,"Advisory, Dance, Instrumental Music, Project-Based Courses, STEM, Technology, Visual Arts, Vocal Music",Alvin Ailey Dance ; ARISTA Honor Society ; Beacon ; Broadway Jr. ; Gender Classes ; Gospel Choir ; MOUSE Squad ; Multicultural Club ; Penny Harvest ; Spanish Proficiency Exam Tutoring ; Specialized High School Prep ; International Travel Program ; Student Council ; Summer Transition Program,Accessible,2018
28.0,28Q157,Stephen A. Halsey (J.H.S. 157),Forest Hills,"63-55 102nd Street, Queens NY 11374",,,,,,English as a New Language,Spanish,"Algebra I, Living Environment, Spanish, US History","Art, Dance, Drama, Music (Band and Vocal), Technology","Chess ; Cooking ; Dance ; Dance (Performing & Competition Team) ; Entrepreneur Club ; Film Making ; Garden ; MOUSE Squad ; Performing Arts Program ; School Newspaper ; School Trips to: Museums, Washington DC, Williamsburg, Virginia, Broadway, Revolutionary Era Manhattan, Lincoln Center ; Soap Box Derby Race ; Stock Market Game",Not Accessible,2018
28.0,28Q167,MELS - Metropolitan Expeditionary Learning School,Forest Hills,"91-30 Metropolitan Avenue, Queens NY 11375",,,,,,English as a New Language,,Algebra I,"Art, Instrumental Music",Art ; Boatbuilding ; Crew ; Intramural Sports ; Manga Club ; Music ; NYC Outward Bound Activities ; National Junior Honor Society (NJHS) ; Outdoor Expeditions ; Rap Crew ; Robotics ; Rock Climbing ; Speech/Debate ; Theater ; Web Design,Accessible,2018
28.0,28Q190,Russell Sage Junior High School (J.H.S. 190),Forest Hills,"68-17 Austin Street, Queens NY 11375",,,,,,English as a New Language,"French, Latin, Spanish","Algebra I, French, Living Environment, Spanish","Art, Chorus, Dance, Drama, English as a New Language After-School Support, Portfolio Development, Specialized High School Test Preparation, Vocal",Computer Club ; Computers ; Debate Team ; Geometry Prep ; Honors Program ; Math Team ; NJHS ; Science Olympia ; SHSAT Prep ; Student Council ; Yearbook Club,Accessible,2018
28.0,28Q217,Robert A. Van Wyck (J.H.S. 217),Briarwood,"85-05 144th Street, Queens NY 11435",,,,,,English as a New Language,"Latin, Spanish","Algebra I, Living Environment, US History","After-School English as a New Language Academy, Regents Prep, Saturday Academy, SHSAT Prep",Aquatic Robotics ; Art ; Band ; Beat the Streets Wrestling ; Chess ; Chorus ; Computer Science Codesters ; Cooking Club ; Dance ; Digital Music Club ; Drama ; Heart Surgery Science Club ; iMovie Courses ; LEGO Robotics ; MOUSE Squad ; Mentoring ; Peer Tutoring ; Performing Arts ; Production Company ; Rock Band ; Think Law ; Queens Community House ; Urban Advantage Science Program ; Web Design ; Web Development ; Young Debaters,Accessible,2018
28.0,28Q284,York Early College Academy,South Jamaica,"108-35 167th Street, Queens NY 11433",,,,,,English as a New Language,Spanish,"Algebra I, Earth Science","Art, Drama, Music, Software Engineering Program",Builders Club ; Chess ; Cosmetology ; Dance ; Drama ; Homework Help ; Robotics ; STEP Team,Accessible,2018
28.0,28Q287,The Emerson School,South Jamaica,"108-35 167th Street, Queens NY 11433",,,,,,English as a New Language,French,"Algebra I, Living Environment, US History","Art, Music",Academic Intervention Programs ; Arts and Literacy After-School Program ; Project BOOST ; Tutorial and Enrichment Courses,Accessible,2018
28.0,28Q310,Queens Collegiate: A College Board School,Briarwood-Jamaica Hills,"167-01 Gothic Drive, Jamaica NY 11432",,,,,,English as a New Language,Spanish,"Living Environment, Spanish","Advisory (study skills, conflict resolution), Art, Chorus, Health, Piano, Technology, Theater",Community Service Club ; Cultural Night ; Model UN (competitive program) ; Musical/Play Production ; National Junior Honor Society ; Peer Tutoring ; Respect Committee ; Student Council ; Sustainability Club,Not Accessible,2018
28.0,28Q332,Redwood Middle School (I.S. 332),Springfield Gardens North,"133-25 Guy R Brewer Boulevard, Queens NY 11434",,,,,,English as a New Language,,Algebra I,"Health, Inquiry Explorations, Literacy Intensives, Math Intensives, Music, Spanish, STEM, Visual Arts","Broadway Jr ; Chess ; Computer Coding ; Dance ; Fencing ; Film Production ; Literacy Intensive (small-group, skill-based classes) ; Math Intensive (small-group, skill-based classes) ; Music ; School Newspaper ; STEP ; Student Government",Accessible,2018
